gene,process,HCT116-21-3-c1,HCT116-21-3-c3,HCT116-5-4-p,HCT116-5-4,HCT116-8-3-c3,HCT116-8-3-c4,RPE-21-3-c-1-p,RPE-21-3-c1,RPE-21-3-c2,RPE-5-3-12-3-p,RPE-5-3-12-3,RPE1-5-3-12-3,RPEvsHCT116
HARS2,Translation,-0.190041,-0.222684,,-0.27248,0.0434947,0.211218,-0.0040339,-0.0945852,-0.152587,0.654513,0.679208,0.679208,1.2093
HCCS,Electron Transport Chain,0.131552,0.0955769,0.143655,0.353195,0.000107973,0.133233,0.144074,0.0908054,-0.274271,0.333243,-0.321348,-0.321348,-0.714876
HEMK1,Translation,0.148623,0.413907,,-0.013709,0.166188,-0.00904915,,0.0118727,0.372626,,,-0.331009,
HIBADH,Amino Acid Metabolism,-0.0304927,-0.251855,,-0.0319367,-0.146111,-0.138482,,0.0594698,-0.154422,,,-0.033334,
HIBCH,Amino Acid Metabolism,0.0682377,-0.0705354,,-0.105053,-0.179776,0.0319817,,0.00184168,-0.249679,,,0.0262905,
HIGD1A,Electron Transport Chain,0.242979,0.190902,,-0.275487,0.0663177,0.0810671,,0.100482,-0.571598,,,-0.158691,
HIGD2A,Electron Transport Chain,0.0210894,-0.0530361,,1.01566,-0.0494227,-0.062097,,-0.0657554,0.648093,,,0.867214,
HINT2,Apoptosis,0.106699,0.378534,,0.337696,0.367042,0.281407,,0.032239,0.548732,,,0.471342,
HK1,Glycolysis,,,0.513777,,,,0.595228,,,0.285108,-0.444938,,-1.85348
HK2,Glycolysis,,,-0.50867,,,,0.0642084,,,0.461184,-0.544583,,-0.813155
HK3,Glycolysis,,,,,,,,,,,,,
HKDC1,Glycolysis,,,,,,,,,,,,,
HMBS,Heme Biosynthesis,,,,,,,,,,,0.455099,,0.946172
HMGCL,Amino Acid Metabolism,0.0523815,0.0222602,,-0.320905,0.424562,0.322977,,-0.212383,0.130843,,,-0.249344,
HMGCS2,Amino Acid Metabolism,,,,,,,,,,,,,
HRSP12,Translation,0.39841,0.209319,,-0.450098,0.568666,0.0397397,,-0.233578,-0.0651184,,,-0.045383,
HSCB,Fe-S cluster biosynthesis,0.242109,0.147802,0.502956,0.358037,-0.203136,-0.062003,,-0.582288,0.0498364,,-0.0062846,-0.0062846,-0.271024
HSD17B10,Translation,0.264765,-0.12843,-0.0635404,-0.126829,0.00808499,-0.0265014,-0.0986889,-0.115001,0.208806,0.125589,0.043822,0.043822,0.398692
HSD17B4,Bile Acid Synthesis,-0.083918,-0.0881877,,0.907533,-0.0122036,0.0768814,,-0.134775,-0.278617,,,0.373196,
HSD17B8,Fatty Acid Biosynthesis and Elongation,0.574839,0.480665,,-0.067514,0.30505,0.133521,,,,,,,
HSD17B8,Metabolism of Vitamins & Co-Factors,0.574839,0.480665,,-0.067514,0.30505,0.133521,,,,,,,
HSD3B1,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
HSD3B2,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
HSPA1B,Apoptosis,-0.0150051,0.0439332,,-0.36897,0.123648,0.142903,,0.295825,-0.383866,,,0.356871,
HSPA9,Import & Sorting,0.141379,0.0915717,0.835644,1.06263,0.0574049,-0.00940673,0.245523,-0.0623338,-0.446077,1.1353,0.345888,,0.645618
HSPD1,Import & Sorting,0.228457,0.128358,,-0.43794,0.0411873,0.0144318,,-0.142189,-0.862327,,,0.163071,
HSPE1,Import & Sorting,,,,,,,,,,,,,
HTRA2,Apoptosis,0.250829,0.0559196,-0.55754,-0.412993,-0.114237,-0.0238944,0.145733,-0.022552,0.028872,0.282755,-0.205489,-0.205489,-0.571125
IARS2,Translation,0.141611,0.0654737,-0.151939,0.0759758,0.0423236,0.112391,0.345803,-0.132769,-0.350932,0.470509,-0.109269,-0.109269,0.0281494
IBA57,Fe-S cluster biosynthesis,-0.164779,-0.213037,0.292008,0.144233,-0.0215826,0.0991173,,-0.221501,-0.154104,,0.226916,0.226916,0.85258
ICT1,Translation,0.262792,0.21507,,-0.404872,0.172424,0.0467809,,0.0815151,-0.0452784,,,0.385571,
IDE,Mitochondrial Signaling,0.0961025,0.143202,,0.338101,-0.0630025,0.0198994,,0.0491653,-0.0556414,,,0.108187,
IDH1,Tricarboxylic Acid Cycle,-0.03561,0.0830703,0.196229,-0.148089,0.00932892,0.128352,0.661524,0.0545079,-0.634715,0.685919,0.333847,0.333847,0.993065
IDH2,Tricarboxylic Acid Cycle,0.220782,0.163148,0.384823,-0.0402165,0.0366164,0.0337402,0.00914673,0.105669,0.570176,-0.853357,-0.619845,-0.619845,-1.02011
IDH3A,Tricarboxylic Acid Cycle,,,,,,,0.131013,,,0.342141,0.0531864,,0.743145
IDH3B,Tricarboxylic Acid Cycle,,,-0.0845643,,,,0.143755,,,0.548565,0.364662,,0.204774
IDH3G,Tricarboxylic Acid Cycle,,,0.280289,,,,-0.0374525,,,0.180217,0.370834,,-0.0683557
IMMP1L,Import & Sorting,-0.119065,0.0130539,,-0.440561,-0.0530642,-0.106958,,-0.0750234,0.054251,,0.21861,0.21861,0.450255
IMMP2L,Import & Sorting,-0.011596,-0.101103,,-0.831661,-0.16256,-0.18227,,-0.570101,-0.308053,,-0.58496,-0.58496,-0.161658
IMMT,Mitochondrial Dynamics,0.127244,-0.938051,,0.0591571,0.0333181,-0.00948043,,-0.204466,-0.372641,,,0.0095198,
ISCA1,Fe-S cluster biosynthesis,0.173786,-0.122909,,-0.119352,0.0904503,-0.0641914,0.166357,0.160176,-0.356521,,-0.27984,-0.27984,-0.132928
ISCA2,Fe-S cluster biosynthesis,-0.0034759,-0.0116287,,-0.0435406,-0.201764,-0.180827,,0.0281998,-0.520119,,0.120247,0.120247,0.018446
ISCU,Fe-S cluster biosynthesis,0.222616,-0.0244568,0.381726,-0.190406,-0.0491402,-0.236557,0.6739,0.227404,-0.823309,0.646586,0.874671,0.874671,-0.250415
ITPR1,Calcium Signaling & Transport,,,-0.0268517,,,,1.19856,,,0.736965,0.160178,,-1.69487
ITPR2,Calcium Signaling & Transport,,,-0.0398256,,,,0.154602,,,0.0663519,0.641628,,-0.548483
ITPR3,Calcium Signaling & Transport,,,-0.301849,,,,0.807023,,,1.35705,-0.504319,,-0.283362
IVD,Amino Acid Metabolism,0.0579185,0.146904,,-0.0279507,-0.0946829,-0.17449,,0.0803364,0.0147909,,,0.0647102,
KARS,Translation,0.337838,0.154892,-0.238102,-0.287415,-0.013613,-0.115691,-0.10286,-0.0996254,-0.12437,0.240674,0.26337,0.26337,0.245595
KIAA0391,Translation,-0.0088917,0.0306295,-0.0101518,0.119456,0.124163,0.0467293,0.0655363,0.0780888,0.0489405,-0.162081,-0.29146,-0.29146,-0.305906
KIAA1279,Mitochondrial Dynamics,-0.160331,0.054355,,0.547273,-0.0597935,0.306741,,0.189953,-0.174168,,,0.0222185,
KIF1B,Mitochondrial Dynamics,,,-0.107788,,,,0.0787465,,,-0.112767,-0.247494,,-0.404106
KIF5B,Mitochondrial Dynamics,,,0.199505,,,,0.00792773,,,-0.124858,-0.266833,,-0.298123
KMO,Amino Acid Metabolism,,,,,,,,,,,,,
L2HGDH,Pyruvate Metabolism,0.010106,-0.136394,,-0.169032,-0.107095,-0.129571,,-0.116689,-0.614522,,,-0.169394,
LACE1,Protein Stability & Degradation,0.35997,0.309802,,0.307752,-0.0852235,0.0994835,,0.48141,-0.0677471,,,0.0949998,
LACTB2,Translation,0.287663,-0.120766,,-0.726177,-0.0606074,0.270724,,0.222294,-0.363657,,,-0.361252,
LARS2,Translation,0.149087,0.11327,-0.16469,-0.0127143,0.144381,0.0682,0.268747,-0.0583014,-0.118163,0.148177,-0.0712526,-0.0712526,0.0128676
LDHA,Glycolysis,,,0.548042,,,,0.114613,,,-0.0896338,-0.309338,,-1.77824
LDHAL6B,Glycolysis,,,,,,,,,,,,,
LDHB,Glycolysis,,,-0.0830421,,,,0.107182,,,0.693551,0.474933,,0.553326
LDHC,Glycolysis,,,,,,,,,,,,,
LETM1,Calcium Signaling & Transport,0.0804151,0.00959876,-0.198222,-0.10385,0.0478798,-0.0112604,-0.0377336,0.0208463,0.395129,0.249925,-0.142938,-0.142938,0.382531
LETM2,Calcium Signaling & Transport,0.29425,0.362679,,-1.37949,-0.204829,0.0888298,,-0.155924,-0.112422,,,0.00849772,
LETMD1,Apoptosis,0.0971262,-0.0545856,,-0.372598,-0.0489944,-0.157736,,-0.295805,-0.726799,,,1.06752,
LIAS,Lipoic Acid Metabolism,0.408619,0.213137,,-1.22278,-0.00107363,-0.504065,,-0.147593,-0.516921,,,0.210623,
LIG1,Replication & Transcription,0.0194863,0.0999717,,0.00690865,0.294904,0.0740073,,-0.102945,-0.191128,,,0.181797,
LIG3,Replication & Transcription,,,-0.446234,,,,-0.545573,,,-0.451322,-0.0431738,,0.72742
LIPT1,Lipoic Acid Metabolism,0.117718,0.0912166,,0.011531,0.0273232,-0.235139,,0.0134942,-0.22242,,,0.751154,
LIPT2,Lipoic Acid Metabolism,-0.16519,-0.257132,,-0.0294153,0.127976,0.315471,,-0.0310039,-0.0794664,,,0.430822,
LONP1,Protein Stability & Degradation,0.280804,0.0673596,-0.647513,-0.265642,0.162499,-0.0346236,0.169339,0.031347,0.0656348,0.607661,-0.453955,-0.453955,0.223672
LRPPRC,Translation,0.348957,0.0206615,-0.31824,-0.334592,-0.0828358,-0.258096,-0.10742,-0.244692,-0.479783,0.123387,-0.0383329,-0.0383329,1.08123
LYN,Mitochondrial Signaling,0.103242,-0.00915808,,-0.463877,0.403328,0.425016,,0.0910826,-0.117497,,,-0.108334,
LYPLA1,Fatty Acid Metabolism,0.162971,-0.134753,,-0.413509,0.481286,0.258584,,-0.0660192,-0.596439,,,-0.166414,
LYRM4,Fe-S cluster biosynthesis,0.271791,0.0314719,0.896675,0.620922,-0.188596,-0.291498,,-0.112209,-0.323863,,0.147626,0.147626,-1.26809
LYRM5,Electron Transport Chain,0.490269,0.186208,,-0.585338,0.0420426,-0.61542,,-0.0805765,-0.697779,,,0.67764,
LYRM7,Electron Transport Chain,0.400136,0.153831,,0.270063,-0.0875084,-0.442898,,0.255113,-0.241372,,,0.675195,
MACROD1,Mitochondrial Signaling,-0.00166749,-0.533818,,-0.690932,0.23154,0.136008,,-0.445899,0.564318,,,-0.0692517,
MALSU1,Translation,0.178163,0.0726562,,-0.401325,-0.0620426,-0.199022,,-0.267059,-0.466254,,,0.486094,
MAOB,Amino Acid Metabolism,-0.100357,-0.764723,,0.314955,0.523132,0.617189,,-0.973452,-2.23328,,,-5.22902,
MAP1LC3A,Mitochondrial Dynamics,,,,,,,,,,,,,-3.82619
MAPK1,Apoptosis,,,0.209892,,,,0.158349,,,0.0959283,-0.0461363,,-0.181095
MAPK3,Apoptosis,,,0.040121,,,,0.481181,,,0.0746689,-0.178789,,-0.475574
MARC1,Nucleotide Metabolism,0.442353,-0.0579016,,-1.39966,0.309314,-0.00608044,,,,,,,
MARC2,Nucleotide Metabolism,0.0449085,-0.138968,,-0.0580151,-0.0418471,-0.158961,,0.0160657,0.0978614,,,-0.573706,
MARCH5,Mitochondrial Dynamics,,,,,,,,,,,-0.141163,,-0.51565
MARS2,Translation,0.341786,0.0472366,,-0.830778,0.0619398,-0.231541,,0.252437,0.149681,,-0.163654,-0.163654,1.59439
MCAT,Fatty Acid Biosynthesis and Elongation,0.235002,-0.00243626,,-0.516202,0.136568,0.0334618,,-0.211451,-0.0392068,,,-0.109991,
MCCC1,Amino Acid Metabolism,0.3197,0.082151,,0.533724,-0.275795,-0.311987,,-0.173856,-0.327329,,,0.337172,
MCCC2,Amino Acid Metabolism,0.187822,-0.00589376,,9.47902e-06,-0.0773331,0.0986028,,0.089557,-0.17768,,,0.332717,
MCL1,Apoptosis,,,,,,,-0.227914,,,0.162476,-0.0611989,,-0.604648
MCU,Calcium Signaling & Transport,0.0499533,-0.0662571,0.0367681,-0.24668,0.0389448,-0.0266589,,0.135801,-0.168769,,-0.479423,-0.479423,-1.03253
MDH1,Tricarboxylic Acid Cycle,-0.0191186,-0.0856964,,0.0132273,-0.0158583,0.000708119,,0.00124843,-0.407136,,,0.113683,
MDH2,Tricarboxylic Acid Cycle,0.233348,-0.0663918,0.0841999,-0.301348,-0.0577444,-0.211269,0.435163,-0.114365,-0.223381,0.586514,0.0803277,0.0803277,0.340847
ME1,Pyruvate Metabolism,,,,,,,,,,,,,
ME2,Pyruvate Metabolism,,,,,,,,,,,,,
ME3,Pyruvate Metabolism,,,,,,,,,,,,,
MECR,Fatty Acid Biosynthesis and Elongation,0.247887,-0.0375749,,-0.548661,-0.0318045,-0.160562,,-0.179681,-0.169885,,,-0.221571,
METAP1D,Import & Sorting,0.291541,0.0454204,,-0.183674,-0.0934972,-0.188286,,-0.127026,-0.155961,,,-0.0835674,
METTL17,Translation,-0.0866263,-0.0926203,,0.148879,-0.0796583,-0.167163,,-0.0335628,-0.368892,,,0.0789777,
MFF,Mitochondrial Dynamics,-0.0123745,-0.150504,0.265313,-0.0685358,-0.00327815,0.0297216,-0.0251707,0.0405689,-0.0916942,0.0829121,-0.0822588,-0.0822588,-0.63102
MFN1,Mitochondrial Dynamics,,,0.233759,,,,-0.221197,,,-0.328262,-0.0648259,,-0.229752
MFN2,Mitochondrial Dynamics,,,0.249875,,,,0.0798591,,,0.471309,0.0491658,,-0.124989
MGST1,ROS Defense,,,,,,,,,,,,,
MIC13,Mitochondrial Dynamics,,,,,,,,,,,,,
MIC27,Mitochondrial Dynamics,,,,,,,,,,,,,
MICU1,Calcium Signaling & Transport,,,0.223544,,,,,,,,-0.0952509,,-1.52058
MICU2;EFHA1,Calcium Signaling & Transport,,,,,,,,,,,,,
MIEF1,Mitochondrial Dynamics,,,,,,,,,,,,,
MIEF2,Mitochondrial Dynamics,,,,,,,,,,,,,
MINOS1,Mitochondrial Dynamics,,,,,,,,,,,,,
MIPEP,Import & Sorting,0.201141,0.10847,-0.0889144,0.0327037,0.147411,-0.209681,-0.017637,-0.175169,-0.496512,0.199355,-0.293056,-0.293056,0.324289
MMADHC,Import & Sorting,0.0627328,0.110179,,-0.106101,-0.0516938,0.00100423,,0.062893,-0.482288,,,0.254581,
MMADHC,Metabolism of Vitamins & Co-Factors,0.0627328,0.110179,,-0.106101,-0.0516938,0.00100423,,0.062893,-0.482288,,,0.254581,
MMS19,Fe-S cluster biosynthesis,,,-0.17829,,,,0.121785,,,0.120969,0.139066,,-0.462947
MNF1,Electron Transport Chain,,,0.72032,,,,0.132515,,,0.492424,0.124205,,-0.514768
MPC1,Pyruvate Metabolism,,,,,,,,,,,,,
MPC2,Pyruvate Metabolism,,,,,,,,,,,,,
MPV17,ROS Defense,0.321584,0.0178913,,-0.286302,0.26968,-0.0560062,,-0.0709327,0.277614,,0.0945232,0.0945232,-1.70579
MPV17L,ROS defense,,,,,,,,,,,,,
MPV17L2,Translation,0.0187192,0.154597,,-0.0396886,0.0899568,0.144405,,-0.0301813,0.261492,,-0.0398188,-0.0398188,0.672631
MRP63,Translation,0.080543,-0.0561212,,-0.687201,0.0558165,-0.23414,,0.114019,0.219687,,,0.355446,
MRPL1,Translation,0.339394,0.132603,-0.202024,0.0674887,-0.1176,-0.236662,-0.222186,-0.000849825,-0.262037,0.295411,0.211522,0.211522,0.577693
MRPL10,Translation,0.168003,-0.0446697,-0.432175,-0.451083,-0.0131997,-0.132097,-0.00668939,-0.0253181,-0.203838,0.232006,0.501574,0.501574,1.28534
MRPL11,Translation,0.0836963,-0.0308286,-0.108803,-0.54333,0.164365,-0.0645279,-0.226262,-0.27491,-0.228038,0.226561,0.634366,0.634366,0.800834
MRPL12,Mitochondrial Carrier,0.110725,0.0630036,,-0.98805,0.0933301,-0.0430254,,-0.213798,0.233654,,0.149821,0.149821,1.05008
MRPL12,Translation,0.110725,0.0630036,,-0.98805,0.0933301,-0.0430254,,-0.213798,0.233654,,0.149821,0.149821,1.05008
MRPL13,Translation,0.1101,0.0768681,-0.168284,-0.0268861,-0.188436,0.159223,-0.0114957,-0.0999443,-0.877423,0.352971,0.0607497,0.0607497,0.831452
MRPL14,Translation,0.0885867,-0.0201112,-0.336209,-0.365353,-0.155998,-0.0632871,-0.231924,-0.261398,0.0895486,,-0.0574157,-0.0574157,-0.31234
MRPL15,Translation,0.0780429,0.0937616,-0.331268,-0.254266,0.522751,0.400211,-0.202136,-0.155813,-0.4732,0.0796915,0.0746418,0.0746418,-0.255228
MRPL16,Translation,-0.0270933,0.55173,-0.147386,-0.11612,0.0708957,0.0189763,-0.0258793,0.106017,0.363309,0.47335,0.109646,0.109646,0.396438
MRPL17,Translation,0.11508,0.20721,-0.121957,-0.103274,0.133147,-0.0967391,-0.0871912,-0.0843041,0.0317697,0.207211,-0.147942,-0.147942,-0.491808
MRPL18,Translation,0.190657,0.163407,-0.190701,-0.140791,0.0416189,0.0463905,,-0.121254,0.249296,,-0.0311107,-0.0311107,0.507296
MRPL19,Translation,0.160548,-0.0621157,-0.183003,-0.413121,-0.00404109,-0.136901,-0.126312,-0.0125293,-0.388133,0.348519,-0.241587,-0.241587,0.154099
MRPL2,Translation,0.33363,0.176746,-0.211265,-0.344566,0.178398,-0.151776,0.119874,-0.0850914,0.397977,0.0517235,0.0459209,0.0459209,0.994545
MRPL20,Translation,0.158368,0.0430019,-0.201052,-0.318291,-0.0366152,-0.0810101,-0.321792,-0.240506,-0.236876,0.421786,0.0541415,0.0541415,-0.223532
MRPL21,Translation,0.35863,0.169673,-0.272716,-0.362928,-0.128907,-0.294846,0.0968229,-0.0659934,0.524304,0.748481,0.792939,0.792939,0.515542
MRPL22,Translation,0.104735,-0.0169013,,-0.172966,-0.156852,-0.0924076,,0.0551988,-0.185306,0.393254,0.763362,0.763362,0.304849
MRPL23,Translation,0.0108635,-0.142568,-0.0122509,0.0459792,-0.0407792,0.00880933,-0.152119,-0.335741,1.31875,,0.369444,0.369444,-0.307957
MRPL24,Translation,0.0891797,0.0120195,0.030799,-0.188044,0.419345,0.0492316,-0.0287105,-0.00657605,0.294518,0.398855,0.143673,0.143673,0.0644803
MRPL27,Translation,0.00507982,0.0491859,-0.266542,-0.0862912,-0.0453304,0.0469863,,0.0152483,0.57536,,0.214092,0.214092,0.461234
MRPL28,Translation,-0.0139469,0.0838384,,0.216153,0.226649,0.235385,-0.303225,-0.118391,0.561001,0.175192,0.303407,0.303407,-1.01905
MRPL3,Translation,0.161783,0.0319584,-0.394866,-0.468976,0.00141906,-0.11588,0.045625,-0.202622,-0.392743,0.415326,0.00834629,0.00834629,0.555551
MRPL30,Translation,0.0537998,-0.0743381,,-0.530765,-0.0945383,-0.275144,,-0.370979,-0.650117,,0.126062,0.126062,0.440323
MRPL32,Translation,0.293541,0.159691,-0.103461,0.0701831,-0.0332557,-0.121547,,0.21003,-0.309316,,0.367052,0.367052,0.579397
MRPL33,Translation,0.18681,0.112225,-0.144216,-0.256856,-0.168339,-0.0048383,,-0.126425,0.124033,,-0.171853,-0.171853,-1.09066
MRPL34,Translation,0.0456551,-0.0140713,,-0.18956,0.0522059,-0.0218549,,-0.044365,0.213321,,0.0991088,0.0991088,0.847116
MRPL35,Translation,0.102802,-0.0330178,,-0.216297,0.035735,-0.0380763,0.153623,0.0124939,-0.233704,0.233702,0.0555943,0.0555943,0.498771
MRPL36,Translation,0.340421,0.14968,,-0.607771,-0.131286,-0.300581,,-0.0148522,-0.052221,,0.858329,0.858329,0.0702939
MRPL37,Translation,0.135415,0.0387617,-0.0184503,-0.0870998,0.00596494,-0.113649,-0.117695,-0.187637,-0.21679,0.472329,0.177496,0.177496,-0.234111
MRPL38,Translation,0.142987,0.160169,-0.119918,-0.764567,0.156182,-0.0143434,-0.303459,0.0286587,0.638559,0.139887,0.208355,0.208355,1.32933
MRPL39,Translation,0.746486,0.778846,-0.284225,-0.24746,0.04343,-0.101929,-0.0092038,0.300104,-0.0533678,0.290674,0.152328,0.152328,0.153043
MRPL4,Translation,0.174632,0.0484331,0.0225713,-0.435443,0.237801,-0.0116066,0.038762,-0.00903386,0.143763,0.157834,-0.0880268,-0.0880268,0.84233
MRPL40,Translation,0.165877,0.125743,-0.0553328,0.0298133,0.0730331,0.0103226,0.0957741,-0.115064,0.285741,0.499585,0.328513,0.328513,-0.0863872
MRPL41,Translation,-0.00722191,-0.055274,,0.384225,-0.105371,0.032562,-0.090718,-0.0535701,1.51934,0.427518,-0.0263248,-0.0263248,-0.00243164
MRPL42,Translation,0.166906,-0.0369967,-0.0120616,-0.207618,-0.104104,-0.174016,0.256166,-0.0479998,-1.12502,0.37707,0.28547,0.28547,0.525814
MRPL43,Translation,-0.0239,-0.0136764,-0.198825,0.191126,0.0120862,0.0413539,,0.00137371,0.474209,,0.219196,0.219196,-0.249224
MRPL44,Translation,0.0584409,-0.0543456,-0.22297,-0.141566,0.0738442,0.00393362,0.00980026,-0.0206672,-0.408758,0.306948,0.0149282,0.0149282,0.505706
MRPL45,Translation,0.181923,-0.0238385,,-0.302628,-0.0901197,-0.158442,,-0.325913,-0.365692,,0.434983,0.434983,0.970526
MRPL46,Translation,0.0636437,0.00260586,,-0.0453619,0.0333332,-0.0481533,,0.117581,-0.136843,,0.134048,0.134048,0.221758
MRPL47,Translation,0.21253,0.105262,-0.128742,0.235197,-0.039211,-0.0782682,-0.0517201,-0.151973,-0.22012,0.413077,0.0827621,0.0827621,0.0533384
MRPL48,Translation,0.0442149,-0.0303136,-0.116989,-0.306692,-0.0911162,-0.0727112,-0.202762,0.032497,-0.234047,0.148401,0.68648,0.68648,0.825033
MRPL49,Translation,-0.0679227,-0.0288595,-0.210989,-0.344215,0.138043,0.0688025,-0.130535,-0.110393,-0.215027,0.269043,0.493534,0.493534,0.558484
MRPL50,Translation,0.151245,0.0699359,-0.0430512,-0.710792,-0.0766282,-0.350037,-0.0479571,0.0591813,-0.274884,0.455851,0.201274,0.201274,0.845193
MRPL51,Translation,0.303379,0.140954,-0.402283,-0.133677,0.0592511,-0.0606607,,-0.288348,-0.771167,,0.63735,0.63735,-0.393605
MRPL52,Translation,0.0484578,0.0408382,,-0.122848,0.117264,-0.00789904,,,0.578805,,0.145412,0.145412,-0.470848
MRPL53,Translation,0.00271119,0.0647454,-0.480253,0.00694374,-0.0779022,-0.0305546,0.381352,-0.168985,0.776839,0.234579,0.345893,0.345893,
MRPL54,Translation,0.00224084,-0.0637646,,0.0259656,-0.097584,-0.124721,0.0800727,0.0267843,0.42844,0.296385,0.3378,0.3378,0.142567
MRPL55,Translation,0.105144,0.0854994,0.416482,0.128264,0.401143,0.00933054,0.410735,-0.040979,1.45311,0.207794,0.0658215,0.0658215,-0.158
MRPL57,Translation,,,-0.156,,,,,,,,,,
MRPL9,Translation,0.0365837,0.0398017,-0.149951,-0.127964,0.0287559,-0.108275,-0.32008,-0.140686,-0.395492,-0.0139267,0.326457,0.326457,-0.0606608
MRPS10,Translation,0.159739,0.0610679,0.143879,-0.0726325,0.104156,-0.141418,-0.53665,0.130707,-0.427603,0.419063,-0.045893,-0.045893,0.0922264
MRPS11,Translation,0.178143,0.291707,0.432649,-0.0285107,0.11435,0.024184,,-0.0265352,-0.386599,,0.23604,0.23604,-0.410877
MRPS12,Translation,0.191401,0.0345092,-0.0586212,-0.298712,0.0924168,-0.135348,,-0.061584,-0.00839692,,0.0975822,0.0975822,0.739869
MRPS14,Translation,-0.00329991,0.0830299,0.0908535,-0.581801,-0.233299,-0.159918,-1.82668,0.0901189,-0.204186,-0.130272,-0.13922,-0.13922,-0.496263
MRPS15,Translation,0.222099,0.15858,-0.26093,-0.405381,0.0920605,0.0581865,-1.05679,-0.275499,0.438844,0.0158118,0.209289,0.209289,0.131805
MRPS16,Translation,0.0642319,-0.0135606,0.335705,-0.0596877,0.0519584,0.0382177,0.0680945,-0.197816,-0.268367,,0.0943832,0.0943832,-0.55085
MRPS17,Translation,0.423708,0.132233,,-0.487285,-0.0139178,-0.264696,,-0.105629,-0.124811,,-0.0672017,-0.0672017,0.311237
MRPS18A,Translation,0.189711,0.184808,-0.173433,-0.0972205,0.105836,0.00258871,,-0.0323728,-0.0228081,,0.199456,0.199456,0.370013
MRPS18B,Translation,0.0334968,-0.0340692,,-0.384274,0.32314,0.018892,,-0.0878651,-0.162046,,0.403104,0.403104,0.72506
MRPS18C,Translation,0.163661,0.276753,-0.0452041,0.0768564,-0.0775928,-0.210161,,-0.108012,-0.501846,,0.162743,0.162743,0.229639
MRPS2,Translation,0.068301,-0.0618884,-0.206236,-0.315484,0.102359,-0.0156267,,-0.18788,-0.0436719,-0.0326651,0.204494,0.204494,0.777236
MRPS21,Translation,0.300435,0.0659569,,-0.483428,-0.0868451,-0.130252,,-4.72245,-5.68092,,1.68773,1.68773,3.11805
MRPS22,Translation,0.139903,0.144047,-0.199003,-0.0953838,0.0470426,-0.0671394,-0.381726,0.0370462,-0.140132,0.167134,0.266274,0.266274,0.807621
MRPS23,Translation,0.270149,0.245043,-0.244241,-0.364352,0.070591,0.117865,-0.503043,-0.102142,-0.349687,0.129197,-0.0132725,-0.0132725,1.13445
MRPS24,Translation,0.1729,-0.0221223,-0.122146,-0.20186,-0.00391718,-0.112265,,0.00968504,0.187581,,0.151454,0.151454,
MRPS25,Translation,0.186131,0.28617,-0.318398,-0.00719136,0.0676476,-0.0974363,-0.304161,0.0851729,-0.137074,0.193321,-0.0428183,-0.0428183,0.0994668
MRPS26,Translation,0.136297,-0.0148157,-0.237766,-0.677298,0.0456023,-0.0706715,0.0513316,-0.0144554,0.636642,0.124424,-0.061563,-0.061563,1.05509
MRPS27,Translation,0.145846,-0.10144,,-0.410151,-0.296088,-0.280446,-0.309293,-0.231543,-0.414453,0.403237,0.835189,0.835189,0.414242
MRPS28,Translation,0.0468339,0.00352238,0.09266,-0.118025,0.443714,0.476084,-0.66029,-0.0630327,-0.615263,0.0842727,0.233746,0.233746,1.10294
MRPS30,Translation,0.104412,-0.0708019,-0.0365702,0.836992,0.0478226,-0.164408,0.0813084,-0.133389,-0.359964,0.494658,0.526148,0.526148,1.6201
MRPS31,Translation,0.208026,0.0394829,-0.0449359,-0.300395,-0.05265,-0.271586,-0.812621,-0.163166,-0.054586,0.238834,0.442896,0.442896,0.808534
MRPS33,Translation,0.316275,0.127336,-0.100292,-0.552706,-0.17412,-0.161775,-2.14733,0.00934392,-0.25643,-0.132774,0.243511,0.243511,0.471552
MRPS34,Translation,0.0804078,0.0350027,-0.166211,-0.300407,0.0489877,-0.120208,-0.0492126,0.00123757,0.0220034,0.532261,0.369466,0.369466,0.504258
MRPS35,Translation,0.361976,0.0269022,-0.17288,-0.199199,-0.0526719,-0.225272,-0.647637,-0.0810251,-1.01585,0.341208,0.616572,0.616572,0.299971
MRPS36,Translation,,,,,,,,,,,0.938234,,0.50781
MRPS5,Translation,0.212682,0.0908865,-0.185483,-0.123079,-0.0778721,-0.136472,-0.799004,-0.0976765,0.104856,0.0499348,-0.0472195,-0.0472195,0.177267
MRPS6,Translation,0.83435,1.37945,-0.0969,1.06755,-0.330829,-0.0630308,0.126434,0.992977,0.465209,0.157415,0.715831,0.715831,
MRPS7,Translation,0.180803,0.0054413,-0.289669,-0.912019,0.0739954,0.00191538,-0.46289,-0.0362286,-0.244531,0.20548,0.0505577,0.0505577,0.368942
MRPS9,Translation,0.190198,0.116189,-0.0204576,-0.224072,0.0422457,-0.126999,-0.622837,-0.160411,-0.262967,0.0897432,0.298148,0.298148,0.936854
MRRF,Translation,0.0514034,-0.197858,-0.646396,-0.680547,-0.00805873,-0.298794,,-0.667466,-0.315705,,0.144111,0.144111,1.05677
MSRA,ROS Defense,0.127855,0.20542,,0.656292,0.969764,0.417445,,0.0292756,-0.0150339,,,0.469542,
